LECROYWS3054,15238,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,09-Nov-2017 11:32:51,0                 
Time,Ampl
-0.00530007,0.0666667
-0.00529997,0.0666667
-0.00529987,0.0666667
-0.00529977,0.0666667
-0.00529967,0.0666667
-0.00529957,0.0666667
-0.00529947,0.0666667
-0.00529937,0.0666667
-0.00529927,0.0666667
-0.00529917,0.0666667
-0.00529907,0.0666667
-0.00529897,0.0666667
-0.00529887,0.0666667
-0.00529877,0.0666667
-0.00529867,0.0666667
-0.00529857,0.0666667
-0.00529847,0.0666667
-0.00529837,0.0666667
-0.00529827,0.0666667
-0.00529817,0.0666667
-0.00529807,0.0666667
-0.00529797,0.0666667
-0.00529787,0.0666667
-0.00529777,0.0666667
-0.00529767,0.0666667
-0.00529757,0.0666667
-0.00529747,0.0666667
-0.00529737,0.0666667
-0.00529727,0.0666667
-0.00529717,0.0666667
-0.00529707,0.0666667
-0.00529697,0.0666667
-0.00529687,0.0666667
-0.00529677,0.0666667
-0.00529667,0.0666667
-0.00529657,0.0666667
-0.00529647,0.0666667
-0.00529637,0.0666667
-0.00529627,0.0666667
-0.00529617,0.0666667
-0.00529607,0.0666667
-0.00529597,0.0666667
-0.00529587,0.0666667
-0.00529577,0.0666667
-0.00529567,0.0666667
-0.00529557,0.0666667
-0.00529547,0.0666667
-0.00529537,0.0666667
-0.00529527,0.0666667
-0.00529517,0.0666667
-0.00529507,0.0666667
-0.00529497,0.0666667
-0.00529487,0.0666667
-0.00529477,0.0666667
-0.00529467,0.0666667
-0.00529457,0.0666667
-0.00529447,0.0666667
-0.00529437,0.0666667
-0.00529427,0.0666667
-0.00529417,0.0666667
-0.00529407,0.0666667
-0.00529397,0.0666667
-0.00529387,0.0666667
-0.00529377,0.0666667
-0.00529367,0.0666667
-0.00529357,0.0666667
-0.00529347,0.0666667
-0.00529337,0.0666667
-0.00529327,0.0666667
-0.00529317,0.0666667
-0.00529307,0.0666667
-0.00529297,0.0666667
-0.00529287,0.0666667
-0.00529277,0.0666667
-0.00529267,0.0666667
-0.00529257,0.0666667
